product_id,name,category,brand,price,stock,tags,source_name,source_category,source_dataset,image_url,rating,rating_count
B07ZPSG8P5,Bastmei 保护壳,手机,Bastmei,86,276,手机|手机配件|保护壳,"Bastmei for OnePlus 7T Case Extremely Light Ultra Thin, Super Slim Hard PC Cover Case for OnePlus 7T (Gravel Green)",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41Mo5IIOw6L._AC_.jpg,4.4,177
B00JIFK1HA,Rikki Knight 保护壳,手机,Rikki Knight,161,330,手机|手机配件|保护壳,Rikki Knight 3D Chevron Peach on White with Anchor Flip Wallet iPhoneCase with Magnetic Flap for Apple iPhone 5c,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/518YqXyZxsL._AC_.jpg,1.0,1
B0BHY2CR5B,iMangoo 保护壳,手机,iMangoo,86,859,手机|手机配件|保护壳,"iMangoo Galaxy S22 Case, for Samsung Galaxy S22 Cases Wallet Case Men Women Protective ID Credit Card Slot Holder Cash Pocket PU Leather Sleeve Double Magnetic Closure Clasp Galaxy S22 Flip Case Blue",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51nZu7lnhHL._AC_.jpg,4.5,530
B0B8ZBCCY6,WSKEN 屏幕保护膜,手机,WSKEN,86,315,手机|手机配件|保护膜|保护壳|摄像头,"WSKEN for Samsung Galaxy Z Fold 4 Camera Lens Protector Case Cover, Anti Scratch HD Tempered Metal Glass Camera Screen Protector Shockproof Film for Galaxy Z Fold 4 5G 2022 Accessories,Gold",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51eGiaTv8aL._AC_.jpg,4.5,354
B07NWTB6P1,MMOBIEL 数据线,手机,MMOBIEL,86,274,手机|手机配件|数据线|存储,MMOBIEL Earspeaker Light Sensor Flex Cable Incl Mic Compatible with iPhone Xs Max 6.5 inch incl. Screwdrivers,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41VCrxxI+VL._AC_.jpg,4.2,380
B08C82CVM2,Peonily Designs 手机商品,手机,Peonily Designs,108,707,手机|手机配件,Peace Love Sunshine Sunflower PopSockets PopGrip: Swappable Grip for Phones & Tablets,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41uDuDqZlFL._AC_.jpg,4.5,41
B09QC96CDF,Areziir 手机商品,手机,Areziir,72,423,手机|手机配件,"Areziir Gapless Elegant Bands Compatible with Samsung Galaxy Watch 4/Watch 5 Band 40mm 44mm/Galaxy Watch 4 Classic 42mm 46mm/Galaxy Watch 5 Pro 45mm,Flower Silicone Pattern Replacement Strap Women Men",AMAZON FASHION,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51gOLjjLwoL._AC_.jpg,4.5,196
B0BBRQW3VS,AMSKY 手机商品,手机,AMSKY,57,392,手机|手机配件,"Sport Band Compatible with Apple Watch Bands 38mm 40mm 41mm 42mm 44mm 45mm for Women Men,Floral Silicone Printed Fadeless Pattern Strap Band for iWatch Series 3, Series 5,Series 6,Series 4,Series 7",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51v+oEqv5jL._AC_.jpg,4.6,26241
B0B6ZJLCLP,NINKI 手机商品,手机,NINKI,144,562,手机|手机配件,"NINKI Sparkling Band Compatible Samsung Galaxy Watch 5/4 40mm 44mm/Classic 42mm 46mm/Active 2 Watch Bands Resin,（Sliver+Black Pink）20mm Stainless Steel Bracelet Band for Galaxy Watch 3 41mm/Watch 42mm",AMAZON FASHION,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51HYLVYdFNL._AC_.jpg,4.3,48
B0B3LTBB8B,Yonds Queen 保护壳,手机,Yonds Queen,72,896,手机|手机配件|保护壳|保护膜,"Yonds Queen for iPhone 13 Pro Max Clear Cute Case, Cool Cartoon Astronaut Space Planet Moon Design Stylish TPU Bumper Shockproof Protector Transparent Case(iPhone 13 Pro Max, Blue Moons)",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41acYAjwIxL._AC_.jpg,4.5,172
B09N44927L,Kitoo 保护壳,手机,Kitoo,72,449,手机|手机配件|保护壳,"Carbon Fiber Pattern Slim Case Compatible with Samsung Galaxy S20, Shockproof 10ft. Drop Tested, Wireless Charging Compatible - Black",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51u87KxOh8L._AC_.jpg,4.5,6654
B072F2FSY5,IQShield 屏幕保护膜,手机,IQShield,72,844,手机|手机配件|保护膜,IQ Shield Matte Screen Protector Compatible with HTC U11 (HTC U 11) Anti-Glare Anti-Bubble Film,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51YoRR1KKAL._AC_.jpg,4.4,59
B01N3676BD,BoxWave Corporation 充电器,手机,BoxWave Corporation,115,830,手机|手机配件|充电器,"BoxWave Charger Compatible with PBS Kids Playtime Pad (Charger by BoxWave) - Wall Charger Direct, Wall Plug Charger for PBS Kids Playtime Pad",Computers,Amazon Reviews 2023,https://m.media-amazon.com/images/I/21mxvKtB5-L._AC_.jpg,3.8,52
B089742DWT,PunkCase 保护壳,手机,PunkCase,288,965,手机|手机配件|保护壳,"Punkcase iPhone 11 Pro Waterproof Case [Aqua Series] [Slim Fit] [IP68 Certified] [Shockproof] [Dirtproof] [Snowproof] Armor Cover for iPhone 11 Pro (2019) (5.8"") [Black]",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41Hwh0UsUeL._AC_.jpg,4.0,39
B09LYXJNNV,LovRug 保护壳,手机,LovRug,144,464,手机|手机配件|保护壳,"LovRug Band with Case Compatible with Apple Watch 38mm 40mm 42mm 44mm iWatch Series 6/5/4/3/2/1 / SE, Slim Jewelry Bling Diamond Rhinestone Replacement Metal Strap for women",AMAZON FASHION,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41hgOLTGl9L._AC_.jpg,4.4,228
B08X6D6HST,Sidande 保护壳,手机,Sidande,79,525,手机|手机配件|保护壳,"Moto G7 Case,Moto G7 Plus case with Flowers, Sidande Shockproof Clear Floral Soft Flexible TPU Slim Phone Case Cover DO NOT FIT for Motorola Moto G7 Power Or Moto G7 Play (Cactus)",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/511lqSgeHJL._AC_.jpg,4.2,95
B09NQ35M4H,STYLUSHOME 手机商品,手机,STYLUSHOME,58,844,手机|手机配件,StylusHome Replacement Rubber Tips 12 Pcs for StylusHome Stylus for Kid Tips Universal Stylus Pens Only,All Electronics,Amazon Reviews 2023,https://m.media-amazon.com/images/I/314BNaawMuL._AC_.jpg,4.3,7
B01LZKE8OI,Spectre Shield 屏幕保护膜,手机,Spectre Shield,43,738,手机|手机配件|保护膜|保护壳,Spectre Shield Screen Protector for Alcatel Tru/Stellar Screen Protector Case Friendly Accessories Flexible Full Coverage Clear TPU Film,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51XWFdRZTiL._AC_.jpg,3.5,2
B00ARDJSBM,Reiko 保护壳,手机,Reiko,31,703,手机|手机配件|保护壳,Reiko PP-LGLS840ORG Premium Durable TPR Gummy Protective Case for LG Viper LG LTE - 1 Pack - Retail Packaging - Orange,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41xrL5pMqhL._AC_.jpg,4.3,36
B0782HHZZY,6goodeals 屏幕保护膜,手机,6goodeals,50,616,手机|手机配件|保护壳|保护膜,"for 6"" ZTE Blade Z MAX bladeZmax case Phone Case 360° Cover Screen Protector Clip Crystal Holster Kick Stand Armor Shock Bumper (Blue)",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51cUjxTlnrL._AC_.jpg,4.3,34
B08BC89N2Y,GMYLE 保护壳,手机,GMYLE,57,511,手机|手机配件|保护壳|摄像头,"GMYLE iPhone 11 Case 2019, Extreme Thin Smooth Full Covered Shockproof Silicone Cover [Enhanced Camera Protection] for Apple iPhone 11 6.1"", Navy Blue",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41vJntWZz5L._AC_.jpg,4.1,97
B01LYVCPWQ,Skinomi 屏幕保护膜,手机,Skinomi,57,881,手机|手机配件|保护膜|保护壳,"Skinomi Screen Protector Compatible with Apple iPhone 7 (Case Friendly, Version 2) Clear TechSkin TPU Anti-Bubble HD Film",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51LdjcrYNhL._AC_.jpg,4.5,40
B09QJ5YY3Y,RYUITHDJP 保护壳,手机,RYUITHDJP,50,655,手机|手机配件|保护壳,"RYUITHDJP for Hot Pepper Serrano 3 Phone Case 5.5"" with Classical Cassette Theme Design, Case for Hot Pepper Serrano 3 TPU Stylish Shockproof Cover",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51GZJLA7Z7L._AC_.jpg,3.5,14
B01B79A82C,Lencca 手机商品,手机,Lencca,180,838,手机|手机配件|保护壳,Lencca Kyma Vegan Leather Crossbody Smartphone Clutch Wallet Purse with Removable Chain Shoulder Strap - Black/Copper,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51Rbz6OSiDL._AC_.jpg,3.9,31
B079B36WCY,Zase 保护壳,手机,Zase,72,643,手机|手机配件|保护壳,ZTE Blade Vantage Wallet Case/ZTE Avid 4 / ZTE Tempo X N9137 / ZTE Fanfare 3 Wallet Pouch Flip Folio [Kickstand Feature] PU Leather Cover w/ID&Card Slot Wrist Strap by Zase (Luxury Rose Gold),Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51afIUmxb3L._AC_.jpg,4.3,23
B01NBPHBJO,SAMSUNG 手机商品,手机,SAMSUNG,2304,181,手机|手机配件,Samsung Galaxy Note 5 N920T 64GB Unlocked GSM - Black Sapphire,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51lkeKvTJrL._AC_.jpg,4.0,20
B0B4R7QLP9,BULEJA 保护壳,手机,BULEJA,101,228,手机|手机配件|保护壳,"BULEJA iPhone 13 Pro Max Case 6.7 Inch,Shockproof Anti-Drop Anti-Scratch TPU + PC Protective Case Suitable for Men Women Constellation Moon iPhone 13 Pro Max Black Case",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51Sf0-LovQL._AC_.jpg,5.0,2
B00CP2YPYI,PureGear 手机商品,手机,PureGear,61,352,手机,Puregear 60184PG Dualtek for Galaxy S4 - 1 Pack - Retail Packaging - Simply Pink,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/31H8Ev3O93L._AC_.jpg,4.2,452
B07MY92X3G,Supershieldz 屏幕保护膜,手机,Supershieldz,50,645,手机|手机配件|保护膜,"(6 Pack) Supershieldz Designed for Huawei (Honor View 20) Screen Protector, High Definition Clear Shield (PET)",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51jXV3fCJ-L._AC_.jpg,3.6,13
B075V8H17X,CanvasLot 手机商品,手机,CanvasLot,144,416,手机|手机配件,"Wiley's Greens Seasoning With A Touch Of Pepper, 1.0 oz (Pack of 3)",Industrial & Scientific,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51B93xH2c4L.jpg,4.9,11
B07JZJT3RH,Encased 屏幕保护膜,手机,Encased,130,67,手机|手机配件|保护膜|保护壳,"Magglass Tempered Glass Screen Protector for Otterbox Defender Series - iPhone XR 6.1"" (Case is NOT Included)",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41sUmnExVeL._AC_.jpg,4.0,182
B00B6ZMBQE,Seidio 保护壳,手机,Seidio,296,481,手机|手机配件|保护壳,Seidio Surface Case and Holster Combo for use with Apple iPhone 5/5s - Retail Packaging - Gold,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41DC+tIujBL._AC_.jpg,4.1,148
B0BG2RX476,FNTCASE 保护壳,手机,FNTCASE,72,808,手机|手机配件|保护壳,FNTCASE for Google Pixel 7-Pro Phone Case: Drop Proof Protection Cover with Kickstand | Matte Textured Shockproof TPU | Protective Sturdy 5G Bumper Case - Purple,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51UKt7T3GwL._AC_.jpg,3.6,177
B09DKPPM8V,VOFUOE 保护壳,手机,VOFUOE,115,996,手机|手机配件|保护壳,"VOFUOE for iPhone 13 Pro Max Case with Stand Strap Hand Holder, Glitter Luxurly Plated Rhombus Phone Case for Women Girls, Protection Cute Cover Wrist Bracket for iPhone 13 6.7 Pro Max-White",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41jE1b2LCmL._AC_.jpg,4.2,139
B094FJRS5C,FYY 保护壳,手机,FYY,151,416,手机|手机配件|保护壳,"FYY Case for Samsung Galaxy S21 Ultra 5G 6.8”, [Magnetic Closure] Luxury Leather Wallet Case Flip Folio Cover with [Front Card Slots] for Galaxy S21 Ultra 5G Wine Red",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51G-zmR2zFL._AC_.jpg,4.5,287
B087ZR713Q,CellEver 屏幕保护膜,手机,CellEver,115,616,手机|手机配件|保护壳|保护膜,"CellEver Clear Full Body Case for iPhone 11, Heavy Duty Protection with Anti-Slip TPU Bumper and [2 Tempered 9H Glass Screen Protectors] Shockproof Transparent Phone Cover 6.1 Inch (Yellow)",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/419UEDQB1iL._AC_.jpg,4.4,12875
B0BTSSCVZH,PopSockets 手机商品,手机,PopSockets,108,371,手机|手机配件,"​​​​PopSockets Phone Grip with Expanding Kickstand, PopSockets for Phone - Pikachu",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41Q-Jt9tKJL._AC_.jpg,4.8,1540
B07Y49KDHP,BELTRON 保护壳,手机,BELTRON,79,459,手机|手机配件|保护壳,"DuraForce Pro 1 Case with Belt Clip Holster, Heavy Duty Slim DuraForce Pro Case with Belt Clip Holster, Heavy Duty Slim Shell Holster Combo & Built-in Kickstand for Kyocera Duraforce Pro 1 E6810 E6820",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51fTCxIusoL._AC_.jpg,4.5,186
B09DPL71RB,GOOSPERY 保护壳,手机,GOOSPERY,144,485,手机|手机配件|保护壳,"GOOSPERY Magnetic Door Bumper Compatible with iPhone 13 Pro Max Case, Card Holder Wallet Case, Easy Magnet Auto Closing Protective Dual Layer Sturdy Phone Back Cover - Green",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41fQPVawINL._AC_.jpg,4.1,498
B09S3HCMYR,TJS 屏幕保护膜,手机,TJS,79,622,手机|手机配件|保护壳|保护膜,"TJS Compatible with Alcatel TCL A3 A509DL Case/TCL A30 Case, with Tempered Glass Screen Protector, Belt Clip Holster Hybrid Kickstand Heavy Duty Cover Drop Protector Phone Case (Black)",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41srXLJoB0L._AC_.jpg,4.6,355
B0BY2KTRS9,Bonoma 屏幕保护膜,手机,Bonoma,122,757,手机|手机配件|保护壳|保护膜|摄像头,Bonoma Compatible with iPhone 13 Pro Max Case Bling Iridescent Fluorescent Matte Luxury Case Camera Protector Shockproof Protective Anti-Skid Edge Cover Screen Protector iPhone 13 Pro Max Case,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41TL0zIE30L._AC_.jpg,4.4,32
B085PS3DLH,True Love Jewellery Pty Ltd 保护壳,手机,True Love Jewellery Pty Ltd,72,503,手机|手机配件|保护壳,"for iPhone Xs, iPhone X, Designed Flip Wallet Phone Case Cover, A23251 Day of Dead Sugar Skull 23251",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51RvUc3SJsL._AC_.jpg,4.7,2
B094H9PSC7,SooMine 数据线,手机,SooMine,65,740,手机|手机配件|数据线,SooMine USB Dock Connector Charging Port Flex Cable Compatible with Motorola Moto E6 XT2005 + Repair Tools,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/417J6DmvoGS._AC_.jpg,4.2,12
B0BHRLL3B1,Casely 保护壳,手机,Casely,252,470,手机|手机配件|保护壳,Casely iPhone 12/12 Pro Case | Wild West Adventure | Desert Case,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51R2SZiywnL._AC_.jpg,4.7,265
B0C3J26W5N,Weycolor 屏幕保护膜,手机,Weycolor,57,865,手机|手机配件|保护壳|保护膜,"Weycolor for Samsung Galaxy A03S Case, with Tempered Glass Screen Protector [2 Pack], Silicone Slim Soft [Shockproof] [Upgraded Lateral Grip] Drop Protection Case for for Galaxy A03S（Black）",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41YViO40TdL._AC_.jpg,4.6,277
B0BQMW6FM9,BXKM 手机商品,手机,BXKM,86,881,手机|手机配件,"2 Packs Nylon Band Replacement for Gizmo Watch 3 2 1/Gabb Watch,20mm Breathable Hook & Loop Gizmo Watch Band Replacement Gabb Watch Bands for Boys and Girls",AMAZON FASHION,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51k9do4OTFL._AC_.jpg,4.5,595
B00BY3JB34,Incipio 保护壳,手机,Incipio,72,436,手机|保护壳,Incipio SA-190 Samsung Galaxy S II Epic 4G Touch Feather Ultralight Hard Shell Case 1 pk-Carrying Case-Retail Packaging-Iridescent Gray,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/31RxEC-i7VL._AC_.jpg,4.1,19
B07VJKZ6L4,CJ Grips 手机商品,手机,CJ Grips,108,669,手机|手机配件,White Daisy Flower PopSockets PopGrip: Swappable Grip for Phones & Tablets,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/419FeBOoBOL._AC_.jpg,4.4,10
B015GXH7Y2,elago 保护壳,手机,elago,94,470,手机|手机配件|保护壳,"iPhone 6S Case, elago® [Origin][Red] - [Unique Dual Layer][Shock Absorbing][Interchangeable Inner Case] – for iPhone 6/6S",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41NACokVdlL._AC_.jpg,3.1,30
B09WKBDNLS,Ｈａｖａｙａ 保护壳,手机,Ｈａｖａｙａ,100,966,手机|保护壳,"Ｈａｖａｙａ Moto one 5g ace Phone case with Card Holder,Motorola one 5g uw ace case Wallet for Women,Motorola one 5g ace Cover with Credit Card Slots and Wrist Lanyard-Blue",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51pmuA1uzaL._AC_.jpg,4.4,180
B0C149TCHL,kitway 手机商品,手机,kitway,108,458,手机|手机配件,"Kitway Band Compatible for Samsung Galaxy Watch 4 Band, Galaxy Watch 5 40mm 44mm/ Pro 45mm, Active 2 Watch Bands, Galaxy Watch 4 Classic 46mm 42mm, 20mm Jewelry Bracelet Women Bling Pearl Bangle Wristband",AMAZON FASHION,Amazon Reviews 2023,https://m.media-amazon.com/images/I/41jzvm4mnUL._AC_.jpg,4.2,86
B09WZ7MV43,ZERODAMAGE SAHARA CASE 保护壳,手机,ZERODAMAGE SAHARA CASE,184,341,手机|手机配件|保护壳,SaharaCase Grip Series Case for Samsung Galaxy A53 5G (2022) [Shockproof Bumper] Rugged Protection Anti-Slip Grip Slim Fit - Clear Black,Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51EGv7+9cJL._AC_.jpg,4.6,2
B098P8MCVM,Gifun 保护壳,手机,Gifun,72,664,手机|手机配件|保护壳,"Love Case for Note 8,Gifun Anti-Slide Clear TPU Flexible Protective Case Cover Compatible with Samsung Galaxy Note 8 - White Black Gold Love",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/51Azb8eaMfL._AC_.jpg,4.4,114
B016M42QNG,AISCELL 保护壳,手机,AISCELL,92,450,手机|手机配件|保护壳,"AISCELL Pouch for Galaxy Grand Prime, Camouflage Rugged Nylon Pouch Case Holster Metal Belt Clip Belt Loop with Carabiner Hook Fits Phone with Hybrid Kickstand Armor Protective Cover",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/511+v4FCFtL._AC_.jpg,4.0,5
B00AR94S2U,Incipio 保护壳,手机,Incipio,61,274,手机|手机配件|保护壳,"Incipio iPhone 5S Case, Dualpro for iPhone 5 5SE SE 2-Piece Tough Protection Hybrid Cover for Shock Absorption with TPU-Pink/Pink",Cell Phones & Accessories,Amazon Reviews 2023,https://m.media-amazon.com/images/I/31GQuLj0U-L._AC_.jpg,4.0,75
